from,to,relation,time,weight,event
CD,JD,6,1963,b,
CD,AH,6,,a,
IB,JD,2,1980,b,
IB,AH,,,a,
BP,JD,4,2015,b,
BP,AH,,,a,
GD,JD,2,2002,b,
GD,AH,,,a,
KJ,JD,,,b,
KJ,AH,4,2012,a,
LA,JD,4,2015,a,
LA,AH,4,2015,a,
DK,JD,5,2014,b,
DK,AH,5,2014,a,
DL,JD,5,2015,b,FA
DL,AH,,,a,FA
DL,DK,1,,,FA
BK,JD,4,,c,FA
BK,AH,,,c,FA
KW,JD,1,1997,b,
KW,JD,2,,b,
KW,AH,,,a,
RM,JD,7,2022,b,FA
RM,AH,7,2022,a,FA
SB,JD,4,2011,b,
SB,AH,,,a,
TM,JD,4,2013,b,
TM,AH,,,a,
TR,JD,4,2013,b,
TR,AH,,,a,
MS,JD,7,2016,b,PE
MS,AH,7,2016,a,PE
MS,TH,1,,,PE
SC,JD,4,2022,b,
SC,AH,,,a,
AR,JD,4,2013,c,
AR,AH,4,2013,c,
TD,JD,7,,b,
TD,AH,1,2018,a,
JW,JD,4,,b,
JW,AH,,,a,
DB,JD,7,2022,c,
DB,AH,7,2022,c,
EF,JD,5,,c,
EF,AH,5,2014,c,
MSP,JD,4,2022,c,
MSP,AH,,,c,
LW,JD,4,2016,b,
LW,AH,,,a,
CC,JD,4,2016,c,
CC,AH,4,2016,c,
CC,JD,2,,,
CC,AH,2,,,
EW,JD,4,2016,b,
EW,AH,,,a,
SJ,JD,4,1992,b,KOT
SJ,AH,,,a,KOT
MC,JD,4,1999,b,
MC,AH,,,a,
DH,JD,,,a,
DH,AH,5,2019,b,
KM,JD,3,1994,b,
KM,AH,,,a,
TH,JD,7,2016,b,PE
TH,AH,7,2016,a,PE
WG,JD,7,2016,b,PE
WG,AH,7,2016,a,PE
WHE,JD,6,2014,b,
WHE,AH,6,1987,a,
JH,JD,,,a,
JH,AH,,,b,
EB,JD,3,1998,a,
EB,AH,,,b,
TJ,JD,4,1986,a,
TJ,AH,,,b,
JM,JD,4,1999,a,
JM,AH,,,b,
DS,JD,7,2022,a,FA
DS,AH,7,2022,b,FA
DRM,JD,7,2022,a,
DRM,AH,7,2022,b,
KA,JD,7,2022,a,
KA,AH,7,2022,b,
TN,JD,7,2022,a,
TN,AH,7,2022,b,
TW,JD,,,a,
TW,AH,2,2011,b,
WH,JD,,,b,
WH,AH,1,2016,a,
DKU,JD,5,2015,b,
DKU,AH,,,a,
MK,JD,7,2013,b,
MK,AH,7,2013,a,
JDR,JD,8,,b,WK
JDR,AH,,,a,
RP,JD,,,b,
RP,AH,2,,a,
VP,JD,3,,b,
VP,AH,,,a,
WR,JD,3,,b,
WR,AH,,,a,
BN,JD,7,,b,
BN,AH,7,,a,
JA,JD,7,,a,
JA,AH,7,,b,
ABA,JD,0,,a,
ABA,AH,5,,b,
LB,JD,5,,a,FA
LB,AH,5,,b,FA
AB,JD,5,,c,
AB,AH,,,c,
LD,JD,,,b,
LD,AH,2,,a,
TH,MS,1,,,
MS,TH,1,,,
WG,TH,1,,,
TH,WG,1,,,
WG,MS,1,,,
MS,WG,1,,,
WH,BP,1,,,
BP,WH,1,,,
WH,JH,1,,,
WH,JH,2,,,
JH,WH,1,,,
JH,WH,2,,,
TW,BP,1,,,
BP,TW,1,,,
JD,CV,4,,,
JD,CV,3,,,
AH,CV,,,,
JD,BC,4,,,
AH,BC,,,,
JD,EBR,,,,
AH,EBR,4,,,
JD,BR,,,,
AH,BR,4,,,
IB,BP,1,,,
BP,IB,1,,,
IB,JD,,,,WK
RP,JD,,,,WK
RP,JDR,3,,,
WHE,JD,,,,WK
JDR,JD,,,,WK
TW,JD,,,,WK